accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.00,0.02,-0.31,0.00,0.00,0.00
-0.01,0.00,-0.30,0.00,-0.00,0.00
0.01,0.00,-0.34,0.00,0.00,0.00
0.00,0.00,-0.30,0.00,-0.00,-0.00
0.00,0.00,-0.30,0.00,-0.00,0.00
0.00,-0.02,-0.30,0.00,-0.00,0.00
0.00,0.00,-0.33,0.00,-0.00,0.00
0.00,0.00,-0.33,0.00,-0.00,0.00
0.00,0.00,-0.34,0.00,0.00,0.00
0.00,0.00,-0.33,0.00,-0.00,0.00
0.00,-0.01,-0.34,0.00,0.00,-0.00
0.02,0.00,-0.31,0.00,-0.00,0.00
0.01,-0.01,-0.30,0.00,0.00,0.00
0.02,0.00,-0.30,0.00,0.00,0.00
0.01,-0.01,-0.34,-0.00,0.00,-0.00
0.00,0.00,-0.33,0.00,0.00,0.00
0.00,0.00,-0.32,0.00,-0.00,0.00
0.00,0.01,-0.28,0.00,0.00,0.00
0.00,0.00,-0.31,0.00,0.00,0.00
0.00,0.00,-0.31,-0.00,0.00,-0.00
0.00,0.00,-0.31,0.00,0.00,0.00
0.02,0.00,-0.28,0.00,-0.00,-0.00
0.02,0.00,-0.31,0.00,-0.00,0.00
0.00,0.00,-0.28,-0.00,-0.00,0.00
0.00,0.00,-0.28,0.00,-0.00,-0.00
0.00,-0.01,-0.29,-0.00,0.00,0.00
0.00,0.00,-0.33,0.00,-0.00,0.00
0.01,0.00,-0.31,0.00,-0.00,0.00
0.00,0.00,-0.30,0.00,-0.00,0.00
0.00,0.00,-0.30,0.00,-0.00,0.00
0.03,0.00,-0.35,0.00,-0.00,-0.00
0.01,0.00,-0.32,0.00,0.00,0.00
0.02,-0.01,-0.30,0.00,0.00,-0.00
0.01,-0.01,-0.32,0.00,0.00,-0.00
0.00,0.00,-0.30,0.00,-0.00,0.00
0.00,0.00,-0.30,0.00,-0.00,0.00
0.01,0.00,-0.30,0.00,-0.00,0.00
0.02,0.00,-0.32,-0.00,0.00,0.00
0.00,0.00,-0.34,-0.00,-0.00,0.00
0.00,0.00,-0.31,0.00,-0.00,0.00
0.00,-0.01,-0.32,0.00,0.00,0.00
0.00,0.00,-0.30,-0.00,-0.00,0.00
0.01,0.00,-0.31,0.00,-0.00,0.00
0.00,0.00,-0.29,0.00,-0.00,0.00
0.00,0.00,-0.30,0.00,0.00,0.00
0.00,0.00,-0.30,-0.00,0.00,0.00
0.00,0.00,-0.32,-0.00,0.00,0.00
0.00,0.00,-0.30,-0.00,0.00,0.00
0.00,0.00,-0.30,-0.00,-0.00,0.00
0.02,0.01,-0.32,-0.00,-0.00,0.00
0.00,0.00,-0.32,0.00,0.00,0.00
0.01,0.00,-0.30,-0.00,0.00,0.00
0.00,0.00,-0.30,-0.00,0.00,0.00
0.00,0.00,-0.33,0.00,-0.00,0.00
-0.01,0.01,-0.33,-0.00,-0.00,0.00
0.00,0.00,-0.32,-0.00,-0.00,0.00
0.00,-0.01,-0.32,-0.00,-0.00,0.00
0.00,0.00,-0.33,0.00,0.00,0.00
0.01,0.01,-0.35,-0.00,0.00,0.00
0.02,0.00,-0.33,-0.00,0.00,0.00
-0.01,0.01,-0.36,0.00,0.00,0.00
0.00,0.00,-0.30,-0.00,-0.00,0.00
0.00,0.01,-0.32,-0.00,-0.00,0.00
0.00,0.00,-0.32,-0.00,0.00,0.00
0.00,0.02,-0.35,-0.00,0.00,0.00
0.00,0.00,-0.33,-0.00,0.00,-0.00
0.01,0.00,-0.34,-0.00,-0.00,0.00
0.01,0.00,-0.31,0.00,-0.00,0.00
0.00,-0.01,-0.29,0.00,0.00,0.00
0.01,0.00,-0.36,-0.00,-0.00,0.00
0.01,0.00,-0.32,-0.00,0.00,0.00
0.01,0.00,-0.35,-0.00,-0.00,0.00
0.00,0.00,-0.29,-0.00,0.00,0.00
0.00,0.00,-0.33,-0.00,0.00,-0.00
0.00,0.00,-0.31,-0.00,0.00,-0.00
0.01,0.00,-0.31,0.00,0.00,0.00
0.01,0.00,-0.29,-0.00,-0.00,-0.00
0.02,0.02,-0.34,0.00,0.00,0.00
0.01,0.00,-0.29,0.00,-0.00,0.00
0.00,0.00,-0.31,0.00,-0.00,-0.00
0.00,-0.01,-0.31,-0.00,-0.00,0.00
0.00,0.00,-0.31,-0.00,0.00,0.00
0.00,0.00,-0.34,-0.00,0.00,0.00
0.01,0.00,-0.34,0.00,0.00,0.00
0.01,0.00,-0.30,-0.00,0.00,0.00
0.00,0.00,-0.33,0.00,0.00,0.00
0.00,0.00,-0.30,0.00,-0.00,0.00
0.00,0.00,-0.30,-0.00,-0.00,-0.00
0.00,-0.01,-0.28,0.00,-0.00,0.00
0.00,0.01,-0.31,0.00,-0.00,0.01
0.00,0.00,-0.34,0.00,0.00,0.00
0.02,0.00,-0.31,-0.00,-0.00,0.00
0.03,0.00,-0.32,0.00,0.00,0.00
0.00,-0.02,-0.33,-0.00,0.00,0.00
0.00,-0.02,-0.31,0.00,0.00,0.00
0.00,-0.02,-0.31,-0.00,-0.00,0.00
0.01,0.00,-0.32,0.00,0.00,0.00
0.00,0.01,-0.33,0.00,0.00,-0.00
0.00,0.00,-0.30,-0.00,-0.00,0.00
0.00,0.02,-0.30,0.00,0.00,0.00
0.02,0.00,-0.29,0.00,0.00,0.00
0.00,0.00,-0.33,0.00,0.00,0.00
0.00,0.00,-0.32,-0.00,-0.00,-0.00
0.00,0.00,-0.30,0.00,-0.00,0.00
0.00,0.00,-0.30,-0.00,0.00,0.00
0.00,0.02,-0.32,-0.00,0.00,0.00
0.00,0.02,-0.30,-0.00,0.00,0.00
0.00,0.00,-0.31,-0.00,-0.00,0.00
0.00,0.00,-0.30,0.00,0.00,0.00
0.01,0.00,-0.31,0.00,0.00,0.00
0.00,0.00,-0.31,0.00,0.00,0.00
0.00,0.00,-0.34,0.00,0.01,-0.00
0.00,0.00,-0.32,0.00,0.00,0.00
0.00,0.00,-0.31,0.00,0.00,0.00
0.00,0.00,-0.28,0.00,0.00,0.00
-0.01,-0.01,-0.29,0.00,-0.00,0.00
0.00,-0.01,-0.28,0.00,0.00,0.00
0.01,0.00,-0.33,0.00,0.00,0.00
0.01,0.00,-0.30,0.00,0.00,0.00
0.01,0.00,-0.29,0.00,-0.00,0.00
0.00,0.00,-0.32,0.00,0.00,0.00
0.01,0.00,-0.29,-0.00,-0.00,0.00
0.00,0.00,-0.34,0.00,-0.00,-0.00
0.00,0.00,-0.28,0.00,0.00,-0.00
0.00,0.00,-0.30,0.00,0.00,0.00
0.00,0.00,-0.31,-0.00,-0.00,0.00
0.00,0.00,-0.31,0.00,0.00,0.00
0.00,0.00,-0.25,0.00,0.00,0.00
0.02,0.00,-0.27,0.00,-0.00,0.00
0.01,0.00,-0.30,-0.00,-0.00,0.00
0.01,0.00,-0.31,0.00,-0.00,0.00
0.00,0.00,-0.31,0.00,-0.00,0.00
0.00,0.00,-0.31,-0.00,0.00,0.00
0.00,0.01,-0.32,-0.00,0.00,0.00
0.00,0.00,-0.31,-0.00,0.00,0.00
0.00,0.00,-0.29,-0.00,0.00,-0.00
0.01,-0.01,-0.29,-0.00,0.00,0.00
0.00,-0.03,-0.30,0.00,0.00,0.00
0.00,-0.01,-0.28,0.00,0.00,-0.00
0.01,-0.02,-0.32,0.00,0.00,0.00
0.00,0.00,-0.31,0.00,0.00,0.00
0.00,0.00,-0.33,0.00,-0.00,0.00
0.00,0.00,-0.31,-0.00,0.00,0.00
0.00,0.00,-0.32,0.00,-0.00,0.00
0.00,-0.01,-0.29,0.00,0.00,-0.00
0.00,0.00,-0.34,-0.00,0.00,0.00
0.00,0.00,-0.31,0.00,0.00,0.00
0.00,0.00,-0.28,0.00,0.00,0.00
0.02,0.00,-0.30,0.00,0.00,0.00
0.01,-0.03,-0.32,-0.00,0.00,0.00
0.00,0.00,-0.26,0.00,0.00,0.00
0.00,0.00,-0.33,0.00,-0.00,0.00
0.00,0.00,-0.34,-0.00,-0.00,0.00
0.01,0.00,-0.33,0.00,0.00,0.00
0.00,0.00,-0.29,0.00,-0.00,0.00
0.00,0.00,-0.31,0.00,-0.00,0.00
0.00,0.00,-0.33,-0.00,0.00,-0.00
0.01,-0.01,-0.34,0.00,-0.00,0.00
0.00,-0.01,-0.29,0.00,0.00,0.00
0.00,-0.01,-0.31,-0.00,0.00,0.00
-0.01,0.00,-0.28,0.00,0.00,-0.00
0.00,0.01,-0.33,-0.00,0.00,-0.00
0.00,0.00,-0.34,0.00,0.00,0.00
0.00,0.00,-0.30,0.00,0.00,0.00
0.00,0.00,-0.31,-0.00,0.00,-0.00
0.00,0.00,-0.31,-0.00,-0.00,0.00
0.00,-0.02,-0.33,-0.00,0.00,0.00
0.01,0.00,-0.30,0.00,0.00,0.00
0.00,0.00,-0.32,-0.00,0.00,0.00
0.00,0.00,-0.33,0.00,-0.00,0.00
0.00,0.00,-0.32,0.00,0.00,0.00
0.00,0.00,-0.32,0.00,-0.00,0.00
0.00,0.01,-0.30,0.00,-0.00,0.00
-0.01,0.00,-0.32,0.00,-0.00,-0.00
-0.01,0.00,-0.32,0.00,-0.00,0.00
0.03,0.00,-0.30,0.00,-0.00,0.00
0.03,0.01,-0.29,0.00,-0.00,0.00
0.01,0.00,-0.31,-0.00,-0.00,-0.00
-0.01,0.00,-0.31,0.00,0.00,0.00
-0.01,-0.01,-0.30,0.00,-0.00,0.00
-0.02,-0.01,-0.30,0.00,-0.00,0.00
0.00,0.00,-0.32,0.00,-0.00,0.00
0.01,0.01,-0.32,0.00,-0.00,0.00
0.00,0.00,-0.32,0.00,0.00,0.00
0.01,0.00,-0.30,0.00,-0.00,0.00
0.00,0.00,-0.35,0.00,-0.00,0.00
-0.02,0.00,-0.29,0.00,0.00,0.00
0.00,-0.01,-0.31,0.00,-0.00,0.00
0.00,0.00,-0.34,0.00,0.00,0.00
0.00,0.01,-0.28,-0.00,0.00,-0.00
0.03,0.00,-0.31,-0.00,0.00,0.00
0.00,0.00,-0.29,-0.00,-0.00,0.00
0.01,0.00,-0.32,0.00,-0.00,0.00
0.00,-0.01,-0.31,-0.00,0.00,-0.00
0.00,0.01,-0.31,0.00,0.00,0.00
0.02,0.00,-0.30,0.00,0.00,-0.00
0.00,0.01,-0.32,0.00,-0.00,0.00
0.00,0.00,-0.28,-0.00,-0.00,-0.00
0.02,0.00,-0.31,0.00,-0.00,-0.00
0.00,0.00,-0.29,0.00,0.01,0.00
0.00,-0.03,-0.29,0.00,0.00,0.00
-0.01,0.00,-0.30,0.00,0.00,0.00
0.00,0.00,-0.31,0.00,0.00,0.00
0.00,0.00,-0.30,-0.00,0.00,0.00
0.00,-0.01,-0.30,-0.00,0.00,0.00
0.00,0.00,-0.30,0.00,-0.00,0.00
-0.01,-0.01,-0.30,0.00,-0.00,0.00
0.00,0.00,-0.34,0.00,-0.00,-0.00
0.01,0.00,-0.31,-0.00,0.00,0.00
0.00,0.01,-0.30,0.00,-0.00,0.00
0.00,0.00,-0.32,0.00,-0.00,0.00
0.00,0.01,-0.29,0.00,-0.00,0.00
0.00,0.00,-0.32,0.00,-0.00,-0.00
0.00,0.00,-0.30,-0.00,0.00,-0.00
0.02,0.00,-0.31,0.00,-0.00,0.00
0.00,0.00,-0.32,-0.00,0.00,-0.00
0.01,0.00,-0.32,-0.00,-0.00,0.00
0.00,-0.01,-0.31,0.00,0.00,0.00
0.01,0.00,-0.30,0.00,0.00,0.00
0.00,0.00,-0.31,-0.00,0.00,0.00
0.00,0.01,-0.34,0.00,0.00,0.00
0.01,0.02,-0.31,0.00,0.00,0.00
0.00,0.00,-0.32,0.00,0.00,0.00
0.00,0.00,-0.31,-0.00,0.00,0.00
0.00,-0.01,-0.33,0.00,-0.00,0.00
0.00,-0.01,-0.32,0.00,-0.00,0.00
0.01,-0.02,-0.29,0.00,-0.01,0.00
0.00,0.00,-0.30,0.00,-0.00,0.00
0.00,0.00,-0.33,0.00,-0.00,0.00
0.00,0.00,-0.32,0.00,-0.00,0.00
0.01,0.00,-0.30,0.00,0.00,0.00
0.00,-0.01,-0.32,0.00,-0.00,0.00
