time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
29770,-2.09,4.36,-3.33,0.42,-1.10,-2.62
29784,-2.51,4.61,-3.46,0.55,-1.05,-2.47
29800,-3.66,5.22,-3.71,0.72,-0.93,-2.06
29814,-4.09,5.31,-3.82,0.77,-0.87,-1.82
29828,-4.67,5.44,-3.98,0.76,-0.80,-1.28
29843,-4.68,5.55,-4.04,0.71,-0.75,-1.02
29859,-4.81,5.67,-4.06,0.53,-0.54,-0.43
29873,-4.99,5.65,-3.91,0.40,-0.38,-0.10
29889,-5.21,5.51,-3.48,0.07,-0.07,0.61
29903,-5.52,5.36,-2.89,-0.13,0.11,0.98
29917,-5.61,5.26,-2.80,-0.33,0.34,1.35
29931,-5.26,4.61,-2.78,-0.75,0.83,2.10
29945,-4.82,4.39,-2.73,-0.97,0.99,2.43
29962,-3.80,3.98,-2.57,-1.36,1.08,2.99
29976,-3.58,3.57,-2.43,-1.49,1.08,3.21
29991,-3.82,2.78,-1.52,-1.58,1.18,3.53
30005,-4.70,1.68,-0.41,-1.52,1.23,3.63
30019,-5.42,0.30,0.71,-1.38,1.29,3.70
30033,-5.85,-0.20,0.78,-0.87,1.51,3.74
30048,-6.77,-1.90,0.54,-0.58,1.69,3.83
30063,-6.56,-2.08,0.38,-0.02,2.09,3.96
30077,-5.89,-1.75,0.01,0.24,2.16,3.95
30092,-4.92,-2.05,-0.13,0.54,1.89,3.86
30106,-4.39,-2.39,-0.09,0.57,1.64,3.74
30120,-2.29,-2.78,0.57,0.50,1.06,3.29
30134,-1.33,-2.74,0.90,0.40,0.82,3.00
30150,1.61,-1.61,1.05,0.07,0.47,2.45
30169,3.05,-1.11,0.74,-0.18,0.40,2.20
30183,3.80,-1.12,0.56,-0.86,0.45,1.73
30197,3.89,-1.48,0.55,-1.25,0.42,1.48
30213,3.17,-2.81,0.78,-1.85,0.23,0.98
30227,2.90,-3.18,1.03,-1.98,0.19,0.79
30243,2.72,-3.59,1.24,-1.96,0.11,0.63
30257,2.86,-3.88,1.31,-1.83,0.07,0.64
30271,2.87,-4.16,1.26,-1.42,0.05,0.66
30285,2.42,-4.17,1.27,-1.16,0.12,0.62
30301,1.52,-4.03,1.76,-0.67,0.35,0.56
30315,1.11,-4.02,1.77,-0.47,0.39,0.59
30329,0.21,-3.74,2.07,-0.32,0.40,0.65
30344,0.01,-3.70,2.08,-0.18,0.34,0.79
30359,-0.28,-3.75,2.06,-0.19,0.32,0.82
30373,-0.95,-4.17,1.94,-0.32,0.34,0.80
30387,-1.49,-4.49,1.79,-0.39,0.37,0.78
30403,-3.53,-6.04,2.08,-0.46,0.45,0.78
30417,-3.86,-6.56,2.21,-0.47,0.42,0.79
30431,-3.11,-7.28,2.14,-0.53,0.18,0.69
30445,-2.64,-7.48,2.41,-0.51,0.08,0.61
30460,-2.08,-7.72,2.74,-0.45,0.03,0.51
30474,0.20,-8.32,3.56,-0.23,0.03,0.20
30488,0.95,-8.44,3.48,-0.02,0.10,-0.01
30504,1.08,-8.50,2.46,0.61,0.45,-0.46
30518,0.05,-8.35,2.20,0.99,0.72,-0.67
30532,-3.88,-7.54,1.97,1.73,1.20,-1.02
30546,-4.62,-7.03,1.96,2.03,1.19,-1.17
30562,-4.64,-5.36,1.32,2.24,0.94,-1.33
30576,-4.40,-4.91,0.90,2.39,-0.11,-1.65
30592,-4.31,-4.10,0.36,2.25,-1.21,-2.22
30606,-4.53,-3.44,0.17,2.21,-1.36,-2.36
30621,-4.46,-2.61,-0.06,2.16,-1.52,-2.45
30635,-3.69,-1.94,-0.21,2.01,-2.01,-2.58
30649,-3.16,-1.52,-0.50,1.89,-2.20,-2.70
30665,-2.16,-0.85,-0.99,1.57,-2.25,-3.03
30679,-1.26,-0.36,-1.00,1.41,-2.15,-3.19
30695,-0.73,0.35,-1.42,1.10,-1.94,-3.36
30709,-0.15,0.74,-1.82,1.00,-1.82,-3.38
30723,0.04,1.44,-2.68,0.88,-1.52,-3.42
30737,-0.12,1.87,-2.93,0.78,-1.43,-3.43
30753,-0.91,3.82,-3.96,0.52,-1.34,-3.34
30767,-1.08,4.36,-4.12,0.33,-1.35,-3.29
30781,-0.91,6.22,-4.02,0.13,-1.43,-3.27
30796,-0.65,6.62,-4.27,-0.09,-1.67,-3.24
30810,-0.42,6.76,-4.35,-0.16,-1.64,-3.24
30824,-0.59,6.00,-4.14,-0.24,-1.44,-3.22
30838,-1.22,5.62,-4.10,-0.22,-1.31,-3.10
30854,-3.68,4.05,-3.66,0.01,-1.05,-2.54
30868,-4.48,3.76,-3.62,0.18,-0.89,-2.11
30882,-5.26,4.08,-3.81,0.37,-0.71,-1.60
30897,-5.13,4.42,-3.94,0.75,-0.28,-0.54
