time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
15952,0.12,0.02,-0.06,-0.02,-0.02,0.05
15967,0.08,0.00,-0.01,-0.03,-0.01,0.04
15981,0.06,-0.03,0.02,-0.04,-0.01,0.04
15995,0.08,-0.09,-0.01,-0.06,-0.00,0.05
16009,0.06,-0.08,-0.03,-0.06,-0.01,0.05
16025,0.01,-0.12,0.03,-0.04,-0.01,0.04
16039,0.01,-0.07,0.02,-0.03,-0.01,0.03
16053,0.03,-0.03,-0.09,-0.02,-0.00,0.02
16068,0.05,0.00,-0.08,-0.01,-0.00,0.02
16088,0.04,-0.05,-0.11,-0.03,0.01,0.01
16102,0.04,-0.08,-0.04,-0.03,0.01,0.01
16117,0.08,-0.12,-0.01,-0.03,-0.00,0.00
16131,0.05,-0.11,0.03,-0.01,-0.01,-0.01
16145,0.01,-0.12,-0.15,-0.01,-0.01,-0.02
16159,-0.05,-0.14,-0.25,-0.02,-0.01,-0.01
16174,-0.19,-0.27,-0.24,-0.03,-0.02,-0.00
16189,-0.17,-0.23,-0.28,-0.02,-0.07,0.02
16204,-0.11,-0.07,-0.16,-0.03,-0.09,0.03
16218,-0.09,0.01,-0.08,-0.05,-0.11,0.04
16232,-0.07,0.00,-0.07,-0.08,-0.11,0.05
16246,0.05,-0.06,0.09,-0.12,-0.11,0.04
16260,0.10,-0.11,0.07,-0.13,-0.10,0.05
16276,0.06,-0.16,0.11,-0.09,-0.09,0.04
16290,0.05,-0.10,0.00,-0.09,-0.09,0.04
16304,0.07,-0.04,0.06,-0.08,-0.08,0.03
16319,0.13,-0.03,0.12,-0.07,-0.07,0.02
16333,0.17,0.00,0.19,-0.08,-0.06,0.01
16347,0.07,-0.20,0.25,-0.09,0.00,0.01
16361,0.01,-0.29,0.25,-0.08,0.01,0.01
16377,0.04,-0.23,0.16,-0.03,0.01,0.02
16391,0.06,-0.13,0.09,0.00,0.01,0.02
16407,0.14,-0.05,0.08,0.01,0.03,0.02
16421,0.14,-0.01,0.10,0.01,0.04,0.02
16437,0.10,-0.05,-0.01,-0.01,0.06,0.02
16451,-0.01,-0.10,0.01,-0.02,0.07,0.02
16465,0.02,-0.22,0.02,-0.02,0.07,0.03
16480,0.08,-0.29,0.15,0.01,0.06,0.03
16494,0.09,-0.31,0.30,0.04,0.07,0.03
16508,0.22,-0.17,0.33,0.10,0.09,0.00
16522,0.32,0.08,0.37,0.12,0.12,-0.02
16538,0.45,0.25,0.48,0.11,0.20,-0.07
16552,0.58,0.33,0.37,0.10,0.25,-0.11
16568,0.33,0.24,0.19,0.07,0.37,-0.21
16582,0.18,0.10,0.23,0.05,0.40,-0.23
16596,0.20,-0.37,0.19,0.07,0.40,-0.26
16610,0.18,-0.35,0.10,0.19,0.41,-0.32
16625,-0.28,-0.33,-0.28,0.27,0.42,-0.33
16640,-0.39,-0.34,-0.45,0.32,0.40,-0.32
16654,-0.40,-0.35,-0.56,0.33,0.37,-0.30
16670,-0.50,-0.41,-1.03,0.33,0.27,-0.22
16684,-0.58,-0.38,-1.16,0.32,0.22,-0.17
16698,-0.64,-0.01,-1.03,0.24,0.08,-0.07
16712,-0.61,-0.01,-0.85,0.16,0.01,-0.01
16728,-0.34,0.07,-0.33,0.03,-0.11,0.06
16743,-0.21,-0.10,-0.41,-0.00,-0.15,0.09
16757,-0.20,-0.07,-0.63,-0.03,-0.17,0.10
16771,-0.11,0.04,-0.79,-0.05,-0.23,0.12
16786,0.08,0.26,-0.72,-0.10,-0.28,0.13
16800,0.52,-0.06,-0.23,-0.21,-0.24,0.11
16814,0.36,-0.71,-0.12,-0.24,-0.15,0.07
